0	1
joy	"When I passed my Primary school leaving certificate and selected  
to go to a Boarding secondary school."
sadness	"When, for example, I left for the first time my parents and I  
went to live in Sofia."
anger	"I had left a student newspaper of the Chinese university on the  
table of the library.  It had disappeared when I came back."
anger	"When students in our working group showed no responsibility or  
interest in our work."
anger	@SouthernRailUK no air working in the 1sr carriage of the 18:03 from Victoria to Bognor. #boiling #southernfail
sadness	"A friend of mine could not make it back to Unza after having  
failed the exams."
fear	"When I was going home for my holiday, I almost drowned in the  
Zambezi river."
sadness	Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad
fear	The craziest thing is it leads me to think past the people bullshit. But then because of the story you still worry about the people bullshit
anger	"I am a school teacher.  One of the classes does not obey me at all,  
keeps on talking, does no work.  One afternoon, everything went  
wrong, and I got exceedingly angry."
anger	Circle K is dead to me. I hate your new slushie machine.  #livid
sadness	When I heard about the death of my aunt.
sadness	@metalAndTheGeek @astoldbyfANGIRL SAME! I always say it was the best time of my life. I closed my store down and it was so depressing
joy	@1xfly you sir are hilarious
sadness	Wanna pop some pills, sedate myself, and wake up tomorrow.
fear	"When I missed crashing, by a hair's breadth, into a man who came  
out 20 metres ahead of me when I was driving at 110km/h."
fear	Walking along with a dog barking at you and following you.
anger	"I told my boy friend not to park in a certain place because the  
car would ger towed away - he didn't listen and it was towed away.  
At that stage, our finances were below the poverty line & it  
cost us $10.00 - all the money we had to get us through that week  
(including rent)."
joy	"Getting sent on a company expense trip to another state to work  
for a week at that plan."
anger	but that was a mistake and a half assed excuse and now here i am burning in hell forever
anger	And the idiots are still gobbing their ridiculous garbage with no better brain it's all they do: the relentless braindead garbage gobbers
fear	"I was raped once when I went through a dark alley at the back of  
our house. The man pushed me in the bushes. I fought back and  
succeeded to escape."
fear	"A four year girl ran away from her father straight in front of my  
car.  I was forced to use the emergency brakes."
joy	"I met a certain lady at Mchesi and I proposed a word of love to  
her and at the same time she accepted my proposal."
joy	@LBC_Charlotte just watched you on the great wall #hilarious 😆
fear	"When I was curious about it and went to a spiritism session with a  
friend. I had already been there other times (many times when I  
was younger) but that day, even if I don't believe in  
spiritism I was terribly afraid that something would happen to me  
(sort of incorporation !)."
joy	I gave my mom a gift she wanted for years. I raflected her joy.
joy	By the way, I'm wearing the smile you gave me today. \n #you #me 
anger	When my kid brother broke my reading spectacles.
anger	"I gave tutorial to a student and I found that he was lazy, he did  
not pay attention to what I taught.  He did some easy questions  
wrong deliberately."
sadness	"A and I were walking along the new Asia stairway to the Chung Chi  
college for our lecture and I saw him with her.  He put one arm  
around her shoulder and laugher brightly and joyfully.  I did not  
dare and did not want to look, just walked by them quickly.  The  
interest of talking to A disappeared and I just wanted to remain  
silent.  But I did not want A to know and so I left him and went  
to F.  I should have expected this to happen."
anger	As in sadness (A), relating to this slaghter of fur-seals.
sadness	A friend breaking up with her boyfriend.
anger	"I arrived in Vienna in the middle of the night. I asked for some  
silly information - as I realized myself afterwards - and the inquiry   
clerk reacted in a very arrogant manner."
joy	Loving  #Pitch so far !! 🤗🤗🤗 @PITCHonFOX @Global_TV  #chills #smiling
anger	"I was disappointed and angry at the bad quality of a documentay  
program on TV.  In my opinion, the topic was important and the  
program should have been made with seriousness and consideration."
joy	Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious #missyou
joy	"I met my present boyfriend on a boat trip to England.  We had  
said that we would call each other when we got back to Sweden (we  
were not going to the same town in England).  As soon as I walked  
in he called from England as he could not wait till he came  
home."
fear	Put my passport in a safe back after getting back from Australia 🌏. Only problem is now I can't remember where the safe is!! #panic 🛂
fear	"I was teaching someone to drive and when we were about to crash I  
was scared."
joy	"Spending the nitht with close friends, after being away (out of  
Nijmegen) for a while."
fear	"One evening I stayed at home all alone. As we lived on the ground  
floor, I was often afraid of burglers."
joy	When I realized that I loved someone of the opposite sex.
anger	"A certain man went to my parents and told them that I was married  
here, when I am here at school. When I went home for holidays my  
parents asked me about it and I was angry with that man."
fear	@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a #nightmare!!  #disgusted
fear	"At about nine p.m., I went home by bike on a dark cycle-track;  
because of lack of time I had to take the short-cut."
joy	When I learnt that I had been admitted to the university.
anger	"I had an exam and I had it well prepared.  I did the first part  
very well but did not know the second part."
sadness	Not accepting hints of intimate relation from a girl.
fear	"When my brother had an epileptic attack and I was scared as to  
what would happen to him."
sadness	"My Uncle was beaten by his troublesome son. He fell unconscious  
and gained consciousness after some time. That time I was at  
school; this news reached me through someone."
joy	When I found out I had passed all of my university exams.
anger	"As I usually do not start learning until a short time before an  
examination,, I once made up my mind to try to work for a longer  
time. But once again I did not do it - and got a bad mark."
fear	Bring on my interview at hospital tho 🙈🙈 #nervous
anger	"I had an appointment downtown, and the person in question was  
half an hour late."
fear	"When I was on holiday, walking back to where I was staying, at  
night, and two men started closely following me. There was nobody  
around that I could run to."
joy	"My friend replying to my letter and again saying he was attracted  
to me and suggesting we write, talk and get together and see how  
things went and his suggestion that I could ring and doing that it  
was really good - though really insane conversation."
fear	"Fear of the loss of a close friend, of feeling the ground slipping  
from under my feet."
sadness	"Last year when I worked during the Summer holidays and studied  
at the same time for an examination I had to repeat; my boyfriend  
went to Greece for a holiday for a month."
sadness	At the death of a close relative.
anger	"I was annoyed this particular day as it seemad that the odds were  
not in my favour.  My grandfather added fuel to the fire, when I   
had an important appointment so I unleashed my anger on him."
anger	"It was when my friend had stolen my money (K10) and had  
disappeared."
anger	... flat party and I instantly get bollocked about it. #fuming
sadness	I'm getting use to not having a phone it's sad ..
fear	"Being involved in a car accident and having my thumb caught in  
the glove compartment. My sister and I had a Fear of finally  
telling my parents, since my sister was the driver."
anger	Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult
joy	Wishing the Ipswich Tigers good luck in their games throughout homecoming week!! We are cheering you on here at the City Office! GO TIGERS!
anger	Someone messing up the room we share.
fear	"I went to see a movie and I went with a friend, it was really  
frightening and it made me stop and think about the world around  
me and what it is really like out there. I was frightened all  
that night."
sadness	Lost a friend.
joy	When I felt that my love was returned.
joy	After 3 weeks I saw my girlfriend again.
